author,published_at,text,unchanged_wordcloud,clean_text,case_fold_text,punctuation_text,normalized_text,cleaned_ws,tokens,removed_stopwords,text_stemmed
@Pogapaskill,2025-10-06T03:44:35Z,"Biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya DPRD,kepala dinas dsb) sekalian ngambil untung","Biasanya pelaksana ada sodara pemerintah setempat (bisa sodaranya DPRD,kepala dinas dsb) sekalian ngambil untung","Biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya DPRD,kepala dinas dsb) sekalian ngambil untung","biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya dprd,kepala dinas dsb) sekalian ngambil untung",biasanya pelaksana ini ada sodara dari pemerintah setempat bisa saja sodaranya dprdkepala dinas dsb sekalian ngambil untung,biasanya pelaksana ini ada sodara dari pemerintah setempat bisa saja sodaranya dprdkepala dinas dsb sekalian ngambil untung,biasanya pelaksana ini ada sodara dari pemerintah setempat bisa saja sodaranya dprdkepala dinas dsb sekalian ngambil untung,"['biasanya', 'pelaksana', 'ini', 'ada', 'sodara', 'dari', 'pemerintah', 'setempat', 'bisa', 'saja', 'sodaranya', 'dprdkepala', 'dinas', 'dsb', 'sekalian', 'ngambil', 'untung']","['pelaksana', 'sodara', 'pemerintah', 'sodaranya', 'dprdkepala', 'dinas', 'dsb', 'ngambil', 'untung']","['laksana', 'sodara', 'perintah', 'sodaranya', 'dprdkepala', 'dinas', 'dsb', 'ngambil', 'untung']"
@AditSaya-lo7jj,2025-10-06T03:30:50Z,"Buset semangka aj d korupsi, hadehh.","Buset semangka aj d korupsi, hadehh.","Buset semangka aj d korupsi, hadehh.","buset semangka aj d korupsi, hadehh.",buset semangka aj d korupsi hadehh,buset semangka saja di korupsi hadehh,buset semangka saja di korupsi hadehh,"['buset', 'semangka', 'saja', 'di', 'korupsi', 'hadehh']","['buset', 'semangka', 'korupsi', 'hadehh']","['buset', 'semangka', 'korupsi', 'hadehh']"
@ArthurYohanes,2025-10-06T01:45:07Z,Makanan bergizi gratis❎<br>Makanan beracun gratis✅,Makanan bergizi gratis❎<br>Makanan beracun gratis✅,Makanan bergizi gratisMakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,"['makanan', 'bergizi', 'gratismakanan', 'beracun', 'gratis']","['makanan', 'bergizi', 'gratismakanan', 'beracun', 'gratis']","['makan', 'gizi', 'gratismakanan', 'racun', 'gratis']"
@renoroo25,2025-10-06T01:05:52Z,Sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,Sepertinya memang atasan mungkin udh cukup benar dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan semacamnya,Sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin sudah cukup benar tetapi dari sih pihak panitia mungkin yang membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin sudah cukup benar tetapi dari sih pihak panitia mungkin yang membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,"['sepertinya', 'memang', 'dari', 'atasan', 'mungkin', 'sudah', 'cukup', 'benar', 'tetapi', 'dari', 'sih', 'pihak', 'panitia', 'mungkin', 'yang', 'membuat', 'sebuah', 'masalah', 'entah', 'dananya', 'dipangkas', 'habis', 'habisan', 'atau', 'semacamnya']","['atasan', 'panitia', 'dananya', 'dipangkas', 'habis', 'habisan', 'semacamnya']","['atas', 'panitia', 'dana', 'pangkas', 'habis', 'habis', 'macam']"
@ChipungKecemplung,2025-10-06T00:27:24Z,WOWO GENDUT BIKIN PROGRAM KERACUNAN MASSAL... PARAH BNGET.. BELAJAR DULU WO SAMA PRESIDEN CHINA GIMANA CARANYA JADI KEPALA NEGARA..,WOWO GENDUT BIKIN PROGRAM KERACUNAN MASSAL... PARAH BNGET.. BELAJAR DULU WO SAMA PRESIDEN CHINA GIMANA CARANYA JADI KEPALA NEGARA..,WOWO GENDUT BIKIN PROGRAM KERACUNAN MASSAL... PARAH BNGET.. BELAJAR DULU WO SAMA PRESIDEN CHINA GIMANA CARANYA JADI KEPALA NEGARA..,wowo gendut bikin program keracunan massal... parah bnget.. belajar dulu wo sama presiden china gimana caranya jadi kepala negara..,wowo gendut bikin program keracunan massal parah bnget belajar dulu wo sama presiden china gimana caranya jadi kepala negara,wowo gendut bikin program keracunan massal parah sekali belajar dulu wo sama presiden china bagaimana caranya jadi kepala negara,wowo gendut bikin program keracunan massal parah sekali belajar dulu wo sama presiden china bagaimana caranya jadi kepala negara,"['wowo', 'gendut', 'bikin', 'program', 'keracunan', 'massal', 'parah', 'sekali', 'belajar', 'dulu', 'wo', 'sama', 'presiden', 'china', 'bagaimana', 'caranya', 'jadi', 'kepala', 'negara']","['wowo', 'gendut', 'bikin', 'program', 'keracunan', 'massal', 'parah', 'belajar', 'wo', 'presiden', 'china', 'kepala', 'negara']","['wowo', 'gendut', 'bikin', 'program', 'racun', 'massal', 'parah', 'ajar', 'wo', 'presiden', 'china', 'kepala', 'negara']"
@hansalwaysstayhalal__4608,2025-10-06T00:22:16Z,Prabowo kon 🗿😎,Prabowo kon 🗿😎,Prabowo kon ,prabowo kon ,prabowo kon ,prabowo kon,prabowo kon,"['prabowo', 'kon']","['prabowo', 'kon']","['prabowo', 'kon']"
@BertodParker,2025-10-05T23:58:38Z,program jangka 5 tahun😏,program jangka 5 tahun😏,program jangka  tahun,program jangka  tahun,program jangka  tahun,program jangka tahun,program jangka tahun,"['program', 'jangka', 'tahun']","['program', 'jangka']","['program', 'jangka']"
@mjgaminkv2542,2025-10-05T23:02:15Z,korupsi 😂,korupsi 😂,korupsi ,korupsi ,korupsi ,korupsi,korupsi,['korupsi'],['korupsi'],['korupsi']
@DommDomi,2025-10-05T14:46:54Z,Kasih mkn gratis tpi kyk di kaih diet,Kasih mkn gratis tpi kyk kaih diet,Kasih mkn gratis tpi kyk di kaih diet,kasih mkn gratis tpi kyk di kaih diet,kasih mkn gratis tpi kyk di kaih diet,kasih makan gratis tapi seperti di kaih diet,kasih makan gratis tapi seperti di kaih diet,"['kasih', 'makan', 'gratis', 'tapi', 'seperti', 'di', 'kaih', 'diet']","['kasih', 'makan', 'gratis', 'kaih', 'diet']","['kasih', 'makan', 'gratis', 'kaih', 'diet']"
@evin8944,2025-10-05T14:37:22Z,"Keracunan MBG ini adalah hal yang gak seharusnya masif terjadi kek gini dan gak masuk akal aja bisa sampai separah itu, Logika gua gak masuk coy, harus diusut apakah ini terjadi memang bahanya yang udah kagak bener lagi/kadaluwarsa atau ada kesengajaan pihak lain kan sayang aja budgetnya ....","Keracunan MBG adalah gak masif terjadi kek gini gak masuk akal aja sampai separah itu, Logika gua gak masuk coy, diusut ini terjadi memang bahanya yang udah kagak bener lagi/kadaluwarsa ada kesengajaan pihak kan sayang aja budgetnya ....","Keracunan MBG ini adalah hal yang gak seharusnya masif terjadi kek gini dan gak masuk akal aja bisa sampai separah itu, Logika gua gak masuk coy, harus diusut apakah ini terjadi memang bahanya yang udah kagak bener lagi/kadaluwarsa atau ada kesengajaan pihak lain kan sayang aja budgetnya ....","keracunan mbg ini adalah hal yang gak seharusnya masif terjadi kek gini dan gak masuk akal aja bisa sampai separah itu, logika gua gak masuk coy, harus diusut apakah ini terjadi memang bahanya yang udah kagak bener lagi/kadaluwarsa atau ada kesengajaan pihak lain kan sayang aja budgetnya ....",keracunan mbg ini adalah hal yang gak seharusnya masif terjadi kek gini dan gak masuk akal aja bisa sampai separah itu logika gua gak masuk coy harus diusut apakah ini terjadi memang bahanya yang udah kagak bener lagikadaluwarsa atau ada kesengajaan pihak lain kan sayang aja budgetnya ,keracunan mbg ini adalah hal yang tidak seharusnya masif terjadi seperti begini dan tidak masuk akal saja bisa sampai separah itu logika aku tidak masuk coy harus diusut apakah ini terjadi memang bahanya yang sudah kagak benar lagikadaluwarsa atau ada kesengajaan pihak lain kan sayang saja budgetnya,keracunan mbg ini adalah hal yang tidak seharusnya masif terjadi seperti begini dan tidak masuk akal saja bisa sampai separah itu logika aku tidak masuk coy harus diusut apakah ini terjadi memang bahanya yang sudah kagak benar lagikadaluwarsa atau ada kesengajaan pihak lain kan sayang saja budgetnya,"['keracunan', 'mbg', 'ini', 'adalah', 'hal', 'yang', 'tidak', 'seharusnya', 'masif', 'terjadi', 'seperti', 'begini', 'dan', 'tidak', 'masuk', 'akal', 'saja', 'bisa', 'sampai', 'separah', 'itu', 'logika', 'aku', 'tidak', 'masuk', 'coy', 'harus', 'diusut', 'apakah', 'ini', 'terjadi', 'memang', 'bahanya', 'yang', 'sudah', 'kagak', 'benar', 'lagikadaluwarsa', 'atau', 'ada', 'kesengajaan', 'pihak', 'lain', 'kan', 'sayang', 'saja', 'budgetnya']","['keracunan', 'mbg', 'masif', 'masuk', 'akal', 'separah', 'logika', 'masuk', 'coy', 'diusut', 'bahanya', 'kagak', 'lagikadaluwarsa', 'kesengajaan', 'sayang', 'budgetnya']","['racun', 'mbg', 'masif', 'masuk', 'akal', 'parah', 'logika', 'masuk', 'coy', 'usut', 'bahanya', 'kagak', 'lagikadaluwarsa', 'sengaja', 'sayang', 'budgetnya']"
@FaizalLaludin-d5e,2025-10-05T14:27:16Z,Sama anjir gw nyebut oacar gw keracunan mbg malah di hukum guru takut polisi datang katanya gak mau tanggung jawab,Sama anjir gw nyebut oacar gw keracunan mbg malah hukum guru takut polisi datang katanya gak mau tanggung jawab,Sama anjir gw nyebut oacar gw keracunan mbg malah di hukum guru takut polisi datang katanya gak mau tanggung jawab,sama anjir gw nyebut oacar gw keracunan mbg malah di hukum guru takut polisi datang katanya gak mau tanggung jawab,sama anjir gw nyebut oacar gw keracunan mbg malah di hukum guru takut polisi datang katanya gak mau tanggung jawab,sama anjing aku nyebut oacar aku keracunan mbg malah di hukum guru takut polisi datang katanya tidak mau tanggung jawab,sama anjing aku nyebut oacar aku keracunan mbg malah di hukum guru takut polisi datang katanya tidak mau tanggung jawab,"['sama', 'anjing', 'aku', 'nyebut', 'oacar', 'aku', 'keracunan', 'mbg', 'malah', 'di', 'hukum', 'guru', 'takut', 'polisi', 'datang', 'katanya', 'tidak', 'mau', 'tanggung', 'jawab']","['anjing', 'nyebut', 'oacar', 'keracunan', 'mbg', 'hukum', 'guru', 'takut', 'polisi', 'tanggung']","['anjing', 'nyebut', 'oacar', 'racun', 'mbg', 'hukum', 'guru', 'takut', 'polisi', 'tanggung']"
@IzzatulhaqAdiwijaya,2025-10-05T14:13:49Z,Di k0rup p4t1s,Di k0rup p4t1s,Di krup pts,di krup pts,di krup pts,di krup pts,di krup pts,"['di', 'krup', 'pts']","['krup', 'pts']","['krup', 'pts']"
@kevin_the-furry-jk,2025-10-05T13:25:32Z,Untung di daerah gw belum ada MBG😂,Untung daerah gw ada MBG😂,Untung di daerah gw belum ada MBG,untung di daerah gw belum ada mbg,untung di daerah gw belum ada mbg,untung di daerah aku belum ada mbg,untung di daerah aku belum ada mbg,"['untung', 'di', 'daerah', 'aku', 'belum', 'ada', 'mbg']","['untung', 'daerah', 'mbg']","['untung', 'daerah', 'mbg']"
@IKANBAKAR-o8j,2025-10-05T13:17:53Z,Bejir ikan hiu goreng,Bejir ikan hiu goreng,Bejir ikan hiu goreng,bejir ikan hiu goreng,bejir ikan hiu goreng,bejir ikan hiu goreng,bejir ikan hiu goreng,"['bejir', 'ikan', 'hiu', 'goreng']","['bejir', 'ikan', 'hiu', 'goreng']","['bejir', 'ikan', 'hiu', 'goreng']"
@akudavzuzuzuc186,2025-10-05T12:46:25Z,MBG = MAKAN BERACUN GRATIS,MBG = MAKAN BERACUN GRATIS,MBG = MAKAN BERACUN GRATIS,mbg = makan beracun gratis,mbg  makan beracun gratis,mbg makan beracun gratis,mbg makan beracun gratis,"['mbg', 'makan', 'beracun', 'gratis']","['mbg', 'makan', 'beracun', 'gratis']","['mbg', 'makan', 'racun', 'gratis']"
@HEYVIRACHANTEQ,2025-10-05T12:38:30Z,&quot;Makan Beracun Gratis&quot; Reflek bilang MANTEPP,&quot;Makan Beracun Gratis&quot; Reflek bilang MANTEPP,Makan Beracun Gratis Reflek bilang MANTEPP,makan beracun gratis reflek bilang mantepp,makan beracun gratis reflek bilang mantepp,makan beracun gratis reflek bilang mantap,makan beracun gratis reflek bilang mantap,"['makan', 'beracun', 'gratis', 'reflek', 'bilang', 'mantap']","['makan', 'beracun', 'gratis', 'reflek', 'bilang', 'mantap']","['makan', 'racun', 'gratis', 'reflek', 'bilang', 'mantap']"
@ErginJogo,2025-10-05T12:15:22Z,Semangkanya mirip kertas 🤣🤣,Semangkanya mirip kertas 🤣🤣,Semangkanya mirip kertas ,semangkanya mirip kertas ,semangkanya mirip kertas ,semangkanya mirip kertas,semangkanya mirip kertas,"['semangkanya', 'mirip', 'kertas']","['semangkanya', 'kertas']","['semangka', 'kertas']"
@錫尼_Senja,2025-10-05T11:07:05Z,"eh bg tp kan ikan hiu it halal bg, boleh dimakan juga kocak😭😭","eh bg tp kan ikan hiu it halal bg, dimakan kocak😭😭","eh bg tp kan ikan hiu it halal bg, boleh dimakan juga kocak","eh bg tp kan ikan hiu it halal bg, boleh dimakan juga kocak",eh bg tp kan ikan hiu it halal bg boleh dimakan juga kocak,eh bang tapi kan ikan hiu itu halal bang boleh dimakan juga kocak,eh bang tapi kan ikan hiu itu halal bang boleh dimakan juga kocak,"['eh', 'bang', 'tapi', 'kan', 'ikan', 'hiu', 'itu', 'halal', 'bang', 'boleh', 'dimakan', 'juga', 'kocak']","['eh', 'bang', 'ikan', 'hiu', 'halal', 'bang', 'dimakan', 'kocak']","['eh', 'bang', 'ikan', 'hiu', 'halal', 'bang', 'makan', 'kocak']"
@kamerafilem,2025-10-05T10:24:20Z,Korupsi itu,Korupsi,Korupsi itu,korupsi itu,korupsi itu,korupsi itu,korupsi itu,"['korupsi', 'itu']",['korupsi'],['korupsi']
@AlanWall-z7d,2025-10-05T08:33:47Z,Papua gak ada keracunan,Papua gak keracunan,Papua gak ada keracunan,papua gak ada keracunan,papua gak ada keracunan,papua tidak ada keracunan,papua tidak ada keracunan,"['papua', 'tidak', 'ada', 'keracunan']","['papua', 'keracunan']","['papua', 'racun']"
@ReyyYessir,2025-10-05T07:42:15Z,mbg:MAKAN BHABI GULING,mbg:MAKAN BHABI GULING,mbg:MAKAN BHABI GULING,mbg:makan bhabi guling,mbgmakan bhabi guling,mbgmakan bhabi guling,mbgmakan bhabi guling,"['mbgmakan', 'bhabi', 'guling']","['mbgmakan', 'bhabi', 'guling']","['mbgmakan', 'bhabi', 'guling']"
@hatahalintar,2025-10-05T07:36:01Z,Maaf ya <br><br><br><br><br>Untung gua orang bali,Maaf <br><br><br><br><br>Untung gua orang bali,Maaf ya Untung gua orang bali,maaf ya untung gua orang bali,maaf ya untung gua orang bali,maaf ya untung aku orang bali,maaf ya untung aku orang bali,"['maaf', 'ya', 'untung', 'aku', 'orang', 'bali']","['maaf', 'untung', 'orang', 'bali']","['maaf', 'untung', 'orang', 'bal']"
@oki99x,2025-10-05T07:30:57Z,Hentikan saja program MBG cuma buang² anggaran. Dulu gw sekolah di SD negeri gak dapat MBG bisa sehat dan lulus,Hentikan program MBG cuma buang² anggaran. Dulu gw sekolah SD negeri gak MBG sehat lulus,Hentikan saja program MBG cuma buang² anggaran. Dulu gw sekolah di SD negeri gak dapat MBG bisa sehat dan lulus,hentikan saja program mbg cuma buang² anggaran. dulu gw sekolah di sd negeri gak dapat mbg bisa sehat dan lulus,hentikan saja program mbg cuma buang² anggaran dulu gw sekolah di sd negeri gak dapat mbg bisa sehat dan lulus,hentikan saja program mbg hanya buang² anggaran dulu aku sekolah di sd negeri tidak dapat mbg bisa sehat dan lulus,hentikan saja program mbg hanya buang² anggaran dulu aku sekolah di sd negeri tidak dapat mbg bisa sehat dan lulus,"['hentikan', 'saja', 'program', 'mbg', 'hanya', 'buang²', 'anggaran', 'dulu', 'aku', 'sekolah', 'di', 'sd', 'negeri', 'tidak', 'dapat', 'mbg', 'bisa', 'sehat', 'dan', 'lulus']","['hentikan', 'program', 'mbg', 'buang²', 'anggaran', 'sekolah', 'sd', 'negeri', 'mbg', 'sehat', 'lulus']","['henti', 'program', 'mbg', 'buang', 'anggar', 'sekolah', 'sd', 'negeri', 'mbg', 'sehat', 'lulus']"
